,,,,,,,,,
,,CUADRO No.3 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito,,,,,,,
,,17 de noviembre de 2020,,,,,,,
,,,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
,,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,,,
,,,,,Brasil,73,41,1,31
,,,,,Piedades,261,194,4,63
,,,,,Pozos,633,463,5,165
,,,,,Salitral,144,97,2,45
,,,,,Santa Ana,541,392,5,144
,,,,,Uruca,319,230,4,85
,,,,,Sin información de distrito,45,43,0,2
,,,,Tarrazú,,68,57,2,9
,,,,,San Carlos,4,4,0,0
,,,,,San Lorenzo,10,8,1,1
,,,,,San Marcos,54,45,1,8
,,,,,Sin información de distrito,0,0,0,0
,,,,Tibás,,2620,1189,53,1378
,,,,,Anselmo Llorente,170,56,5,109
,,,,,Cinco Esquinas,504,228,10,266
,,,,,Colima,445,171,5,269
,,,,,León XIII,901,466,12,423
,,,,,San Juan,587,257,21,309
,,,,,Sin información de distrito,13,11,0,2
,,,,Turrubares,,97,63,0,34
,,,,,Carara,32,13,0,19
,,,,,San Juan de Mata,24,16,0,8
,,,,,San Luis,2,2,0,0
,,,,,San Pablo,31,25,0,6
,,,,,San Pedro,8,7,0,1
,,,,,Sin información de distrito,0,0,0,0
,,,,Vazquez de Coronado,,1699,1261,29,409
,,,,,Cascajal,231,168,2,61
,,,,,Dulce Nombre de Jesús,305,222,6,77
,,,,,Patalillo,534,419,7,108
,,,,,San Isidro,454,328,10,116
,,,,,San Rafael,168,119,4,45
,,,,,Sin información de distrito,7,5,0,2
,,,,Sin información de Cantón,,0,0,0,0
,,Alajuela,,,,23764,11108,258,12398
,,,,Alajuela,,9664,3669,121,5874
,,,,,Alajuela,1975,825,44,1106
,,,,,Carrizal,186,54,1,131
,,,,,Desamparados,773,315,9,449
,,,,,Garita,177,56,1,120
,,,,,Guácima,892,328,5,559
,,,,,Río Segundo,454,233,7,214
,,,,,Sabanilla,171,42,4,125
,,,,,San Antonio,949,312,10,627
,,,,,San Isidro,426,143,2,281
,,,,,San José,1304,396,14,894
,,,,,San Rafael,1666,746,19,901
,,,,,Sarapiquí,69,13,0,56
,,,,,Tambor,361,116,3,242
,,,,,Turrucares,243,76,2,165
,,,,,Sin información de distrito,18,14,0,4
,,,,Atenas,,521,153,3,365
,,,,,Atenas,169,55,2,112
,,,,,Concepción,95,29,0,66
,,,,,Escobal,11,3,0,8
,,,,,Jesús,56,26,0,30
,,,,,Mercedes,76,15,0,61
,,,,,San Isidro,70,14,1,55
,,,,,San José,24,4,0,20
,,,,,Santa Eulalia,20,7,0,13
,,,,,Sin información de distrito,0,0,0,0
,,,,Grecia,,1324,354,22,948
,,,,,Bolivar,100,21,0,79
,,,,,Grecia,411,100,12,299
,,,,,Puente de Piedra,240,88,3,149
,,,,,San Isidro,98,19,1,78
,,,,,San José,123,29,1,93
,,,,,San Roque,168,44,2,122
,,,,,Tacares,183,52,3,128
,,,,,Sin información de distrito,1,1,0,0
