gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2244248981	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25335421	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.679481	-82.605573	31227.0						2019-05-09T16:03:00	9	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25335421			2019-05-18T19:32:20	CC_BY_NC_4_0	M. Omick	M. Omick			2020-05-08T02:27:16.485Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2244248885	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25335419	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.716836	-82.712904	31227.0						2019-05-09T15:38:00	9	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25335419			2019-05-18T19:32:18	CC_BY_NC_4_0	M. Omick	M. Omick			2020-05-08T02:27:17.198Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2244248602	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25335416	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.678187	-82.632232	31227.0						2019-05-09T15:22:00	9	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25335416			2019-05-18T19:32:17	CC_BY_NC_4_0	M. Omick	M. Omick			2020-05-08T02:27:50.809Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2244248390	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25335420	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.606838	-82.750292	31227.0						2019-05-09T15:30:00	9	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25335420			2019-05-18T19:32:18	CC_BY_NC_4_0	M. Omick	M. Omick			2020-05-08T02:27:22.141Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2244236485	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25291445	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.76907	-82.665574	31227.0						2019-05-09T07:25:00	9	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25291445			2019-05-18T01:11:46	CC_BY_NC_4_0	M. Omick	M. Omick			2020-05-08T02:28:01.186Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2244227540	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25251174	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.72948	-82.678283	31227.0						2019-05-08T15:54:00	8	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25251174			2019-05-17T06:37:16	CC_BY_NC_4_0	M. Omick	M. Omick			2020-05-08T02:27:56.917Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2244226518	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25250321	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.773851	-82.712378	31227.0						2019-05-08T13:30:00	8	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25250321			2019-05-17T05:46:43	CC_BY_NC_4_0	M. Omick	M. Omick			2020-05-08T02:26:26.206Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2242985114	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25103790	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.517413	-83.500744	31189.0						2019-05-13T14:52:03	13	5	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	25103790			2019-05-14T11:48:47	CC0_1_0	maddysk	maddysk			2020-05-08T02:27:35.239Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2238834120	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/23289311	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.339886	-83.373529	31199.0						2019-04-08T16:08:55	8	4	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	23289311			2019-04-27T02:48:54	CC_BY_NC_4_0	Jessica Daze	Jessica Daze			2020-05-08T02:28:09.350Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2027504512	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Boca Tapada u. Umgebung				bb646dff-a905-4403-a49b-6d378c2cf0d9	10.700946	-84.191093	250.0						2019-02-19T00:00:00	19	2	2019	5959233	5959233	HUMAN_OBSERVATION	naturgucker	naturgucker	-575299739				CC_BY_4_0		1963945989			2020-03-01T11:56:39.727Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
